asylum_location_code,gender,age_range,population,year
KEN,m,60+,0,2020
KGZ,f,0-4,0,2020
KGZ,f,5-11,0,2020
KGZ,f,12-17,0,2020
KGZ,f,18-59,14,2020
KGZ,f,60+,0,2020
KGZ,m,0-4,5,2020
KGZ,m,5-11,0,2020
KGZ,m,12-17,0,2020
KGZ,m,18-59,22,2020
KGZ,m,60+,0,2020
KGZ,f,0-4,17,2020
KGZ,f,5-11,11,2020
KGZ,f,12-17,11,2020
KGZ,f,18-59,63,2020
KGZ,f,60+,0,2020
KGZ,m,0-4,11,2020
KGZ,m,5-11,23,2020
KGZ,m,12-17,13,2020
KGZ,m,18-59,65,2020
KGZ,m,60+,5,2020
KOR,f,0-4,0,2020
KOR,f,5-11,0,2020
KOR,f,12-17,0,2020
KOR,f,18-59,0,2020
KOR,f,60+,0,2020
KOR,m,0-4,0,2020
KOR,m,5-11,0,2020
KOR,m,12-17,0,2020
KOR,m,18-59,0,2020
KOR,m,60+,0,2020
KOR,f,0-4,0,2020
KOR,f,5-11,0,2020
KOR,f,12-17,0,2020
KOR,f,18-59,0,2020
KOR,f,60+,0,2020
KOR,m,0-4,0,2020
KOR,m,5-11,0,2020
KOR,m,12-17,0,2020
KOR,m,18-59,0,2020
KOR,m,60+,0,2020
KWT,f,0-4,0,2020
KWT,f,5-11,0,2020
KWT,f,12-17,6,2020
KWT,f,18-59,5,2020
KWT,f,60+,0,2020
KWT,m,0-4,0,2020
KWT,m,5-11,0,2020
KWT,m,12-17,6,2020
KWT,m,18-59,0,2020
KWT,m,60+,0,2020
LBN,f,0-4,0,2020
LBN,f,5-11,0,2020
LBN,f,12-17,0,2020
LBN,f,18-59,0,2020
LBN,f,60+,0,2020
LBN,m,0-4,0,2020
LBN,m,5-11,0,2020
LBN,m,12-17,0,2020
LBN,m,18-59,7,2020
LBN,m,60+,0,2020
LBN,f,0-4,0,2020
LBN,f,5-11,0,2020
LBN,f,12-17,0,2020
LBN,f,18-59,5,2020
LBN,f,60+,0,2020
LBN,m,0-4,0,2020
LBN,m,5-11,0,2020
LBN,m,12-17,0,2020
LBN,m,18-59,8,2020
LBN,m,60+,0,2020
LBY,f,0-4,5,2020
LBY,f,5-11,0,2020
LBY,f,12-17,0,2020
LBY,f,18-59,0,2020
LBY,f,60+,0,2020
LBY,m,0-4,0,2020
LBY,m,5-11,0,2020
LBY,m,12-17,0,2020
LBY,m,18-59,0,2020
LBY,m,60+,0,2020
LIE,f,0-4,0,2020
LIE,f,5-11,0,2020
LIE,f,12-17,0,2020
LIE,f,18-59,0,2020
LIE,f,60+,0,2020
LIE,m,0-4,0,2020
LIE,m,5-11,5,2020
LIE,m,12-17,0,2020
LIE,m,18-59,0,2020
LIE,m,60+,0,2020
LKA,f,0-4,0,2020
LKA,f,5-11,5,2020
LKA,f,12-17,0,2020
LKA,f,18-59,5,2020
LKA,f,60+,0,2020
LKA,m,0-4,0,2020
LKA,m,5-11,0,2020
LKA,m,12-17,6,2020
LKA,m,18-59,9,2020
LKA,m,60+,0,2020
LKA,f,0-4,0,2020
LKA,f,5-11,7,2020
